id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Aseptic Component Buffer Tank,HCT/P Processing,Stainless Jacketed Storage,"{""vol_total"":{""type"":""number"",""units"":""L""},""temp_uniformity"":{""type"":""number"",""units"":""C""},""cip_ready"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,High,21 CFR 1271;FDA QMSR,buffer tank;HCTP storage;aseptic vessel,{},PQ involves media hold-time validation for 7-14 days. [4]
,HEPA Filter Photometer,Metrology,Aerosol Leak Tester,"{""particle_sensitivity"":{""type"":""number"",""units"":""um""},""sample_flow"":{""type"":""number"",""units"":""LPM""},""datalogging"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 14644-3;FDA 820,photometer;filter tester;PAO tester,{},Calibration verifies linear response to aerosol concentrations.
,Multi-Lumen Flow Verifier,Metrology,Simultaneous Channel Tester,"{""pressure_per_lumen"":{""type"":""array""},""target_flow"":{""type"":""number"",""units"":""mL/min""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 10555;ISO 13485,flow bench;lumen tester;patency checker,{},OQ verifies channel-to-channel cross-talk prevention logic.
,Drug-Resorbable Scaffold Sinterer,Material Forming,Controlled Atmosphere Furnace,"{""max_temp"":{""type"":""number"",""units"":""C""},""temp_acc"":{""type"":""number"",""units"":""C""},""gas_mix"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;ASTM F1983,PCL sinter;bio-oven;combo furnace,{},PQ involves molecular weight (IV) and drug-loading stability tests.
,PIND Testing Stand,Metrology,Particle Impact Noise Detector,"{""acceleration_range"":{""type"":""range"",""units"":""g""},""freq_acc"":{""type"":""number"",""units"":""%""},""software_v"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,High,MIL-STD-883 M2020;ISO 13485,PIND;particle noise;hermetic tester,{},OQ verifies detection of 100 µm gold wire challenge standard.
,IVD Lateral Flow Slitter Bench,Production,Card Slitting System,"{""cut_width_tol"":{""type"":""number"",""units"":""mm""},""throughput"":{""type"":""number"",""units"":""cards/hr""},""blade_life"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;FDA QMSR,card slitter;LFA slitter;strip cutter,{},PQ verifies strip width consistency to ensure fit in plastic housings.
,Cleanroom Pressure Gauge (Master),Metrology,Precision Manometer,"{""accuracy_class"":{""type"":""number"",""units"":""%""},""range"":{""type"":""range"",""units"":""in_wg""},""traceability"":{""type"":""string""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 14644;ISO 17025,master manometer;pressure standard;DP gauge,{},Standard to qualify cleanroom differential pressure monitoring systems. [6]
,X-Ray Powder Diffractometer (XRPD),Analytical Lab,Crystallinity Analyzer,"{""2theta_range"":{""type"":""range"",""units"":""deg""},""step_size"":{""type"":""number"",""units"":""deg""},""phase_id_accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,,Medium,BS ISO 13779-2;USP <1058>,XRD;crystallinity tester;HA phase analyzer,{},Used to qualify hydroxyapatite (HA) coating phase purity.
,Energy-Dispersive Spectroscope (EDS),Analytical Lab,Elemental Mapping Unit,"{""detection_limit"":{""type"":""number"",""units"":""wt%""},""elements_range"":{""type"":""array""},""integration_v"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13485;ASTM E1508,EDS;EDX;elemental mapper;composition analyzer,{},Integrated with SEM for contaminant identification and alloy verification.
,MES (Mfg Execution System),Control,Paperless Lot Tracking,"{""user_access_levels"":{""type"":""integer""},""database_redundancy"":{""type"":""boolean""},""software_version"":{""type"":""string""}}",TRUE,TRUE,TRUE,,,12,High,21 CFR Part 11;21 CFR 820.70(i);GAMP 5,eDHR;lot tracker;digital batch record,{},Critical for electronic Device History Records (eDHR) and traceability.
,LIMS (Lab Information Mgmt),Control,Quality Control Database,"{""sample_tracking_acc"":{""type"":""number"",""units"":""%""},""audit_trail_log"":{""type"":""boolean""},""instrument_interface"":{""type"":""array""}}",TRUE,TRUE,TRUE,,,12,High,21 CFR Part 11;ISO 17025;GAMP 5,lab software;QC database;sample manager,{},Used for electronic data capture from qualified lab instruments.
,Orthopedic Screw Washer-Dryer,Cleaning,Automated Basket System,"{""cycle_temp"":{""type"":""number"",""units"":""C""},""detergent_conc"":{""type"":""number"",""units"":""%""},""ultrasonic_integrated"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 15883;AAMI ST98,screw washer;implant cleaner;passivation washer,{},PQ verifies residual oil removal (TOC/NVR) using representative loads.
,Wireless Thermal Mapping Kit,Metrology,Multi-Channel Logger System,"{""temp_accuracy"":{""type"":""number"",""units"":""C""},""logger_count"":{""type"":""integer""},""radio_freq"":{""type"":""number"",""units"":""GHz""}}",TRUE,FALSE,FALSE,6,,,Medium,ISO 17025;ISO 17665;USP <1058>,Kaye kit;thermal mapping;validation loggers,{},"Reference standard to qualify autoclaves, freezers, and ovens."
,Automated Microbiological Spreader,Lab: Micro,Spiral Plater / Spreader,"{""spread_pattern"":{""type"":""enum"",""values"":},""dilution_ratio"":{""type"":""number""},""plate_cap"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13485;FDA QMSR,agar spreader;micro plater;colony spreader,{},OQ verifies uniform distribution of environmental samples on agar.
,Laser Anemometer,Metrology,Non-Invasive Air Velocity,"{""velocity_range"":{""type"":""range"",""units"":""m/s""},""response_time"":{""type"":""number"",""units"":""ms""},""nist_traceable"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,12,,,Low,ISO 14644-3;ISO 17025,air flow probe;cleanroom anemometer;laminar meter,{},Standard to qualify cleanroom laminar flow and BSC face velocities.
,Active Smoke Generator,Facilities,Cleanroom Air Visualizer,"{""smoke_purity"":{""type"":""string""},""particle_safety"":{""type"":""boolean""},""tank_vol"":{""type"":""number"",""units"":""L""}}",TRUE,FALSE,FALSE,,12,,Low,ISO 14644-3;FDA Guidance (Cleanroom),smoke wand;HVAC visualizer;airflow fogger,{},"Used for mandatory ""Smoke Studies"" to prove laminar protection."
,Automated J-Tip Former,Production,Guidewire Thermal Shaper,"{""mold_temp"":{""type"":""number"",""units"":""C""},""wire_tension"":{""type"":""number"",""units"":""N""},""cycle_speed"":{""type"":""number"",""units"":""parts/min""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.75;ISO 10555,tip shaper;J-tip bot;guidewire maker,{},PQ verifies curvature radius and tensile integrity of the distal tip.
,IPG Programmer Bench,Active Implantable,Pacemaker Testing Station,"{""telemetry_range"":{""type"":""number"",""units"":""m""},""pulse_freq_acc"":{""type"":""number"",""units"":""%""},""battery_sim"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,12,,High,IEC 60601-1;21 CFR 870.1750,pacer programmer;IPG tester;heart device bench,{},Critical for qualifying final firmware load on active heart devices.
,Hemodialysis Tube Extruder,Material Forming,High-Speed PVC/TPU Line,"{""output_rate"":{""type"":""number"",""units"":""m/min""},""wall_thick_acc"":{""type"":""number"",""units"":""um""},""sizing_vacuum"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75;ISO 10993,dialysis line;blood tubing maker;extruder,{},PQ verifies surface smoothness and kink resistance for blood circuits.
,Endoscope Leak Tester,Inspection,Automated Pressure Decay,"{""test_pressure"":{""type"":""number"",""units"":""kPa""},""leak_lod"":{""type"":""number"",""units"":""mL/min""},""internal_battery"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 15883-4;ISO 13485,scope leak;AER tester;internal seal checker,{},Mandatory to ensure distal seal integrity before high-level disinfection.
,BP Monitor Calibrator,Metrology,Sphygmomanometer Master,"{""pressure_acc"":{""type"":""number"",""units"":""mmHg""},""sim_waveforms"":{""type"":""array""},""hose_conn"":{""type"":""integer""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 81060-2;ISO 17025,NIBP master;BP tester;cuff calibrator,{},Standard to qualify digital and manual blood pressure monitors.
,Multi-Axis Tissue Bioreactor,HCT/P Processing,Dynamic Scaffold Stimulator,"{""tensile_force"":{""type"":""number"",""units"":""N""},""flex_freq"":{""type"":""number"",""units"":""Hz""},""medium_temp_acc"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,12,High,21 CFR 1271.160;ISO 13485,tissue bot;tendon grower;scaffold bioreactor,{},PQ involves biochemical analysis of cell/scaffold integration levels.
,Automated Slide Scanner,Metrology,Digital Pathology Station,"{""pixel_resolution"":{""type"":""number"",""units"":""um""},""focus_acc"":{""type"":""number"",""units"":""%""},""batch_cap"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 13485;21 CFR Part 11,digital slide;pathology bot;histology scanner,{},"OQ verifies color fidelity and ""Out-of-Focus"" error detection logic."
,Cleanroom Garment HEPA Vac,Cleaning,Class 10/ISO 4 Approved,"{""hepa_eff"":{""type"":""number"",""units"":""%""},""airflow"":{""type"":""number"",""units"":""CFM""},""exhaust_particle_acc"":{""type"":""number""}}",TRUE,FALSE,FALSE,,12,,Low,ISO 14644-1;NSF 49,HEPA vacuum;cleanroom vac;gowning vac,{},IQ verifies exhaust filtration does not compromise cleanroom particles.
,HA Coating Thickness Gauge,Metrology,Eddy Current / Ultrasonic,"{""range"":{""type"":""range"",""units"":""um""},""accuracy"":{""type"":""number"",""units"":""um""},""probe_dia"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13779-2;ISO 17025,thickness gauge;HA meter;coating meter,{},Used to qualify hydroxyapatite layer depth on orthopedic implants.
,Gowning Door Interlock,Control,Aseptic Buffer Logic,"{""dwell_time"":{""type"":""number"",""units"":""sec""},""pressure_trigger"":{""type"":""number"",""units"":""Pa""},""fail_safe"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,,12,,High,ISO 14644-1;FDA QMSR,airlock logic;cleanroom interlock;door controller,{},"OQ verifies ""Both Doors Closed"" logic to prevent cleanroom collapse."
,Nitrogen Dew-Point Meter,Metrology,Utilities Purity Probe,"{""dp_range"":{""type"":""range"",""units"":""C""},""pressure_max"":{""type"":""number"",""units"":""bar""},""accuracy"":{""type"":""number"",""units"":""C""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 8573-1;ISO 17025,moisture probe;N2 purity;dry gas meter,{},Reference standard to qualify nitrogen/air dryers for manufacturing.
,Orthopedic Laser Imprinter,Finishing,Fiber Laser Marker,"{""wavelength"":{""type"":""number"",""units"":""nm""},""pulse_width"":{""type"":""number"",""units"":""ns""},""marking_area"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 830;ISO 13485,UDI imprinter;implant marker;laser etcher,{},PQ verifies UDI scannability and contrast on Ti/SS alloys.
,Catheter Luer-Leak Tester,Metrology,ISO 80369-7 Bench,"{""test_pressure"":{""type"":""number"",""units"":""kPa""},""leak_sensitivity"":{""type"":""number"",""units"":""mL/min""},""cycle_timer"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 80369-7;ISO 10555,hub tester;luer leak;connector bench,{},OQ verifies pressure decay accuracy against calibrated orifices.
,WFI Vapor Compression Still,Utilities,Large-Scale Distiller,"{""output_capacity"":{""type"":""number"",""units"":""L/hr""},""feed_water_cond"":{""type"":""number"",""units"":""uS/cm""},""temp_acc"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,12,High,USP ;ISO 13485,VC still;WFI maker;vapor compressor,{},Phase 1 validation (2-4 weeks) monitors distillate daily.
,Multiple-Effect WFI Still,Utilities,Multi-Column Distiller,"{""column_count"":{""type"":""integer""},""steam_consumption"":{""type"":""number"",""units"":""kg/hr""},""conductivity_cutoff"":{""type"":""number"",""units"":""uS/cm""}}",TRUE,TRUE,TRUE,6,6,12,High,USP ;ISO 13485,multi-effect;WFI still;sterile water plant,{},PQ focuses on pyrogen removal efficiency and steam quality. 
,Orthopedic Vibratory Finisher,Finishing,Centrifugal Disc Polisher,"{""motor_rpm"":{""type"":""number""},""bowl_volume"":{""type"":""number"",""units"":""L""},""amplitude"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,24,Medium,ISO 13485;21 CFR 820.70,vibratory bowl;implant tumbler;disc finisher,{},PQ verifies consistent mass finish (Ra) across bulk batches.
,Reagent Vessel CIP Skid,Cleaning,Automated Loop Station,"{""rinse_volume"":{""type"":""number"",""units"":""L""},""cond_control"":{""type"":""number"",""units"":""uS/cm""},""pump_flow"":{""type"":""number"",""units"":""LPM""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 15883;AAMI ST98,loop washer;CIP unit;vessel cleaner,{},PQ verifies 100% removal of active reagents via riboflavin test. 
,LFA Reagent Nano-Dispenser,IVD Production,Piezo-Electric Striper,"{""drop_vol"":{""type"":""number"",""units"":""nL""},""line_width_acc"":{""type"":""number"",""units"":""um""},""alignment_acc"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 13485;FDA QMSR,reagent striper;LFA bot;BioDot bench,{},PQ verifies coefficient of variation (CV) for protein load.
,Process Air Heatless Dryer,Utilities,Twin-Tower Desiccant,"{""outlet_dew_point"":{""type"":""number"",""units"":""C""},""cycle_time"":{""type"":""number"",""units"":""min""},""press_drop"":{""type"":""number"",""units"":""psi""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 8573-1;FDA 820,air dryer;desiccant tower;CDA dryer,{},OQ verifies dew point stability during tower switchover. 
,WFI Sanitization UV Unit,Utilities,High-Intensity 254nm,"{""uv_dosage"":{""type"":""number"",""units"":""mW/cm2""},""lamp_life_alarm"":{""type"":""boolean""},""flow_limit"":{""type"":""number"",""units"":""LPM""}}",TRUE,TRUE,TRUE,6,12,12,High,USP ;ISO 13485,water UV;sanitization unit;UV lamp,{},OQ verifies irradiance mapping within the reactor chamber.
,High-Force Implant Pull-Tester,Metrology,Ortho Screw Bench,"{""axial_force_cap"":{""type"":""number"",""units"":""kN""},""crosshead_acc"":{""type"":""number"",""units"":""um""},""sampling_rate"":{""type"":""number"",""units"":""Hz""}}",TRUE,TRUE,TRUE,12,12,,High,ASTM F543;ISO 17025,pull tester;screw bench;breaking station,{},Used for destructive testing of orthopedic screw insertion torque.
,Bone Plate Contour Scanner,Metrology,3D Laser Profilometer,"{""xy_resolution"":{""type"":""number"",""units"":""um""},""z_accuracy"":{""type"":""number"",""units"":""um""},""travel_x_y"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 10360-8;ISO 17025,contour tracer;3D scanner;plate mapper,{},OQ verifies scan accuracy against certified step-artifacts.
,Heart Valve Leaflet Gauge,Metrology,Non-Contact Optical,"{""resolution"":{""type"":""number"",""units"":""um""},""measuring_vol"":{""type"":""string""},""software_v"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 5840-1;ISO 17025,leaflet gauge;tissue gauge;valve bench,{},Critical for verifying tissue thickness uniformity in bioprotheses.
,Automated Syringe Silconizer,Assembly,Spray/Wipe Deposition,"{""silicone_mass"":{""type"":""number"",""units"":""mg""},""nozzle_pos_acc"":{""type"":""number"",""units"":""um""},""viscosity_range"":{""type"":""range""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 7886-1;ISO 13485,syringe coater;lubricant spray;piston coater,{},PQ verifies glide force and break-loose force consistency.
,Cleanroom Active Pass-box,Facilities,Fan-Filtered Interlock,"{""hepa_eff"":{""type"":""number"",""units"":""%""},""air_velocity"":{""type"":""number"",""units"":""fpm""},""interlock_logic"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 14644-1;FDA QMSR,active pass;HEPA hatch;cleanroom pass,{},OQ verifies pressure recovery time and door logic safety.
,HCT/P Tissue Morselizer,HCT/P Processing,Automated Bone Grinder,"{""morsel_size"":{""type"":""range"",""units"":""mm""},""motor_torque"":{""type"":""number"",""units"":""Nm""},""sterile_housing"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,High,21 CFR 1271.200;ISO 13485,bone grinder;morselizer;HCTP mill,{},PQ verifies consistent granule size for bone void fillers.
,Mandrel Straightening Bench,Production,Guidewire Core Bench,"{""straightness_acc"":{""type"":""number"",""units"":""um/m""},""tension_cap"":{""type"":""number"",""units"":""N""},""mandrel_dia"":{""type"":""range""}}",TRUE,TRUE,FALSE,12,12,,Low,ISO 13485;FDA QMSR,wire straightener;core bench;mandrel rig,{},OQ verifies TIR (Total Indicator Reading) reduction on core wires.
,Marker Band Swaging Tool,Assembly,Catheter Band Joiner,"{""swage_dia_acc"":{""type"":""number"",""units"":""um""},""force_limit"":{""type"":""number"",""units"":""N""},""die_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;21 CFR 820.75,band swager;catheter joiner;swage tool,{},PQ verifies band retention force and catheter lumen patency.
,Central Gas Distribution Skid,Utilities,Bulk Aseptic Supply,"{""gas_purity"":{""type"":""number"",""units"":""%""},""static_pressure"":{""type"":""number"",""units"":""psi""},""manifold_v"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 7396;FDA 820,bulk gas;gas farm;distribution skid,{},OQ verifies leak rate and purity at terminal use-points. 
,Robotic Implant Deburring,Machining,CNC Surface Polisher,"{""tool_force"":{""type"":""number"",""units"":""N""},""path_repeatability"":{""type"":""number"",""units"":""um""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;21 CFR 820.70,deburr bot;implant polisher;robotic finishing,{},PQ verifies removal of machining burrs without part distortion.
,Active Lead Fatigue Simulator,Metrology,Accelerated Stress Rig,"{""flex_angle"":{""type"":""number"",""units"":""deg""},""cycle_count"":{""type"":""integer""},""saline_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,24,High,ISO 14708-2;ISO 13485,lead flexer;pacer stress;fatigue rig,{},PQ involves continuous electrical monitoring during stress cycling.
,Catheter Trackability Rig,Metrology,Tortuous Path Simulator,"{""insertion_speed"":{""type"":""number"",""units"":""mm/s""},""path_geometry"":{""type"":""string""},""force_sensitivity"":{""type"":""number"",""units"":""mN""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 10555-1;FDA Guidance 824,IDTE;track tester;pushability rig;tortuous path,{},"PQ verifies ""Mean Insertion Force"" across 3 consecutive batches."
,Orthopedic Tray Inkjet Coder,Finishing,Large-Character Industrial,"{""ink_durability"":{""type"":""string""},""print_res"":{""type"":""number"",""units"":""dpi""},""barcode_acc"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 830;ISO 13485,tray imprinter;inkjet coder;sterilizable marker,{},PQ verifies ink adhesion after repeated autoclave cycles (ISO 17664).
,Automated Pacer Header Joiner,Assembly,Precision Laser/Adhesive,"{""placement_acc"":{""type"":""number"",""units"":""um""},""cure_temp"":{""type"":""number"",""units"":""C""},""uv_power"":{""type"":""number"",""units"":""W""}}",TRUE,TRUE,TRUE,6,12,,High,ISO 13485;IEC 60601-1,header bonder;pacer assembly;active joiner,{},Critical for hermeticity of active implant connectors.
,Cryogenic Bag Labeler,Labeling,Low-Temp Adhesive Station,"{""label_adhesion"":{""type"":""number"",""units"":""N/cm""},""operating_temp"":{""type"":""number"",""units"":""C""},""barcode_grade"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,21 CFR 1271.290;ISO 13485,cryo labeler;bag marker;HCTP labeler,{},PQ verifies label integrity at -196°C (liquid nitrogen phase).
,Automated Slide De-stainer,Lab: Histology,Precision Solvent Station,"{""bath_timer_acc"":{""type"":""number"",""units"":""sec""},""solvent_recycle"":{""type"":""boolean""},""slides_per_batch"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13485;FDA QMSR,slide washer;histology cleaner;HCTP prep,{},OQ verifies removal of excess background stain for IHC clarity.
,Cleanroom DP Server,Control,Multi-Room Pressure Monitor,"{""sensor_count"":{""type"":""integer""},""alarm_log_redundancy"":{""type"":""boolean""},""scan_rate"":{""type"":""number"",""units"":""Hz""}}",TRUE,TRUE,FALSE,12,,12,High,ISO 14644-2;21 CFR Part 11,FMS server;pressure database;cleanroom monitor,{},Software must be validated to ensure audit trail for pressure excursions.
,Active Lead Abrasion Rig,Metrology,Dynamic Lead Insulation,"{""stroke_freq"":{""type"":""number"",""units"":""Hz""},""contact_force"":{""type"":""number"",""units"":""N""},""saline_bath_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,24,High,ISO 14708-2;ASTM F732,insulation tester;pacer wear rig;abrasion tester,{},PQ simulates 10 years of cardiac motion (360 million cycles).
,Diamond Turning Lathe (IOL),Machining,Ultra-Precision Optical,"{""surface_finish"":{""type"":""number"",""units"":""Ra-nm""},""spindle_runout"":{""type"":""number"",""units"":""um""},""pos_acc"":{""type"":""number"",""units"":""nm""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 11979-3;ISO 13485,lens lathe;IOL turner;optical CNC,{},PQ verifies diopter accuracy and MTF (Modulation Transfer Function).
,Needle Bevel Vision Sizer,Metrology,360-Degree Point Mapper,"{""geometric_acc"":{""type"":""number"",""units"":""um""},""scan_time"":{""type"":""number"",""units"":""sec""},""camera_count"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13485;FDA 820,point profiler;needle vision;bevel mapper,{},OQ verifies bevel angle and lancet point sharpness repeatability.
,Suture Spool Tension Meter,Metrology,Inline Dynamic Sensor,"{""tension_range"":{""type"":""range"",""units"":""cN""},""sampling_freq"":{""type"":""number"",""units"":""Hz""},""nist_traceable"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 17025;FDA QMSR,thread tension;spool meter;suture gauge,{},Standard to qualify automated suture winders during OQ/PQ.
,DES Solvent Recovery Unit,Utilities,Closed-Loop Aseptic Still,"{""purity_threshold"":{""type"":""number"",""units"":""%""},""exhaust_safe"":{""type"":""boolean""},""flow_rate"":{""type"":""number"",""units"":""L/hr""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;21 CFR 820,solvent still;drug reclaimer;DES utility,{},PQ verifies zero cross-contamination between different drug batches.
,Reagent Stopper-Inserter,Assembly,Vacuum-Assisted Capper,"{""insertion_force"":{""type"":""number"",""units"":""N""},""vacuum_acc"":{""type"":""number"",""units"":""mbar""},""sterile_path"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13408-1;21 CFR 1271,vial stopper;aseptic capper;IVD sealer,{},PQ involves helium leak testing for container closure integrity (CCI).
,Qualified Walk-off Mat,Facilities,Cleanroom Entry Adhesive,"{""peel_strength"":{""type"":""number"",""units"":""N""},""particle_retention"":{""type"":""number"",""units"":""%""},""surface_res"":{""type"":""number"",""units"":""Ohm""}}",TRUE,FALSE,TRUE,,12,,Low,ISO 14644;FDA QMSR,tacky mat;cleanroom rug;entry mat,{},PQ verifies particulate reduction in gowning area vs baseline.
,WFI Double-Tube-Plate Heat Exchanger,Utilities,Sanitary Thermal Transfer,"{""heat_load"":{""type"":""number"",""units"":""kW""},""delta_press_max"":{""type"":""number"",""units"":""psi""},""leak_detect"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,,High,USP ;ASME BPE,sanitary HE;WFI cooler;sterile heater,{},IQ verifies double-tube-plate design to prevent cross-contamination. 
,Pacer Telemetry Range Tester,Metrology,RF Distance Bench,"{""freq_range"":{""type"":""range"",""units"":""MHz""},""snr_acc"":{""type"":""number"",""units"":""dB""},""sim_tissue_loss"":{""type"":""number"",""units"":""dB""}}",TRUE,TRUE,FALSE,12,12,,High,IEC 60601-1-2;ISO 13485,RF range;telemetry tester;pacer bench,{},OQ verifies stable data link across the maximum clinical distance.
,Femoral Head Impact Tester,Metrology,Dynamic Drop-Weight Stand,"{""drop_height"":{""type"":""number"",""units"":""m""},""impact_force_acc"":{""type"":""number"",""units"":""%""},""fixture_angle"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 7206-10;ISO 11491,impact tester;ceramic head tester;drop stand,{},"PQ verifies survival of ceramic heads under surgical ""miss-hit"" simulation. "
,Catheter Compatibility Bench,Metrology,Multi-Device Fitting Jig,"{""luer_acc"":{""type"":""number"",""units"":""um""},""taper_match"":{""type"":""boolean""},""swiveling_torque"":{""type"":""number""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 80369-7;ISO 11070,guide-wire fit;compatibility jig;catheter match,{},OQ verifies smooth passage of guidewire through catheter lumen.
,Automated Reagent Labeler,Labeling,Wraparound Vial Labelling,"{""vpm_speed"":{""type"":""number""},""label_pos_acc"":{""type"":""number"",""units"":""mm""},""vision_read"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 830;21 CFR Part 11,vial labeler;IVD bottle labeler;batch labeler,{},PQ verifies UDI legibility on rounded small-diameter vials.
,Tissue Valve Fixation Tank,HCT/P Processing,Glutaraldehyde Aseptic Tank,"{""vessel_vol"":{""type"":""number"",""units"":""L""},""temp_acc"":{""type"":""number"",""units"":""C""},""agitation_acc"":{""type"":""number""}}",TRUE,TRUE,TRUE,12,12,12,High,21 CFR 1271;ISO 5840,fixation tank;crosslinking vessel;heart valve tank,{},PQ verifies consistent tissue collagen cross-linking via shrink-temp.
,Cleanroom Hands-Free Intercom,Facilities,Flush-Mount Aseptic Audio,"{""noise_cancel_db"":{""type"":""number""},""material_finish"":{""type"":""string""},""cleanability"":{""type"":""string""}}",TRUE,TRUE,FALSE,,12,,Low,ISO 14644-1;FDA QMSR,sterile phone;cleanroom audio;aseptic comms,{},IQ verifies chemical resistance to VHP and bleach-based wipes.
,Cardiac Pulsatile Flow Generator,Cardiovascular Support,CPB Fluid Dynamics Sim,"{""flow_pulse_rate"":{""type"":""range"",""units"":""bpm""},""stroke_volume"":{""type"":""number"",""units"":""mL""},""mean_pressure"":{""type"":""number"",""units"":""mmHg""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 870.4330;ISO 13485,pulsatile pump;flow generator;cardiac sim,{},Used to validate extracorporeal circuits and oxygenators under pulsatile load.
,Motorized Imaging C-Arm,Support: Imaging,Cath Lab Isocentric Arm,"{""tilt_range"":{""type"":""range"",""units"":""deg""},""angulation_speed"":{""type"":""number"",""units"":""deg/s""},""anticollision"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,High,21 CFR 1020.30;IEC 60601-2-43,C-arm;motorized gantry;imaging arm,{},OQ verifies cranial/caudal and lateral angulation accuracy and safety stop.
,Low-Attenuation Carbon Fiber Table,Support: Imaging,Angiographic Procedural Table,"{""max_patient_weight"":{""type"":""number"",""units"":""kg""},""float_travel_x_y"":{""type"":""string""},""attenuation_factor"":{""type"":""number""}}",TRUE,TRUE,FALSE,,12,,Medium,21 CFR 870.1360;ISO 13485,cath table;angiography table;X-ray table,{},OQ verifies motorized vertical movement and electromagnetic blocking logic.
,VA-ECMO Console,Cardiovascular Support,Venoarterial Bypass System,"{""battery_reserve"":{""type"":""number"",""units"":""min""},""flow_limit_alarm"":{""type"":""number"",""units"":""L/min""},""integrated_blender"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 870.4150;IEC 60601-1,ECMO;heart-lung support;bypass console,{},Critical for cardiogenic shock. PQ involves 24-hour continuous run stability.
